time,quality
0.0,3
0.0,3
1.0,3
1.0,4
1.0,4
1.0,4
1.0,2
1.0,2
1.0,2
1.0,2
1.0,3
1.0,3
1.0,3
2.0,3
2.0,3
2.0,4
2.0,4
2.0,2
2.0,3
2.0,3
2.0,3
2.0,4
2.0,3
3.0,2
3.0,4
3.0,4
3.0,4
3.0,3
3.0,3
3.0,3
3.0,2
3.0,3
4.0,3
4.0,3
4.0,3
4.0,4
4.0,3
4.0,3
4.0,4
4.0,3
4.0,4
4.0,3
4.0,4
4.0,3
4.0,3
4.0,3
4.0,3
4.0,4
4.0,3
4.0,4
4.0,2
5.0,2
5.0,2
5.0,3
5.0,2
5.0,4
5.0,3
5.0,3
5.0,3
5.0,3
5.0,3
5.0,4
5.0,3
5.0,2
5.0,3
5.0,4
5.0,4
5.0,4
6.0,3
6.0,2
6.0,4
6.0,3
6.0,3
6.0,3
6.0,3
7.0,3
7.0,4
7.0,2
7.0,3
7.0,4
7.0,2
7.0,3
7.0,3
7.0,2
7.0,3
7.0,2
7.0,3
7.0,4
7.0,2
7.0,3
7.0,3
7.0,3
8.0,3
8.0,3
8.0,3
8.0,3
8.0,4
8.0,3
8.0,3
8.0,2
8.0,3
8.0,3
8.0,3
8.0,3
8.0,4
8.0,3
8.0,3
8.0,3
9.0,2
9.0,2
9.0,4
9.0,4
9.0,3
9.0,2
9.0,2
9.0,3
9.0,4
9.0,3
10.0,3
10.0,3
10.0,2
10.0,3
10.0,3
10.0,3
10.0,2
10.0,2
10.0,2
10.0,2
10.0,2
10.0,3
10.0,3
11.0,2
11.0,3
11.0,2
11.0,3
11.0,3
11.0,2
11.0,3
11.0,4
11.0,4
11.0,3
11.0,3
11.0,4
11.0,2
12.0,4
12.0,4
12.0,2
12.0,4
12.0,2
12.0,3
12.0,4
12.0,2
13.0,4
13.0,3
13.0,3
13.0,2
13.0,4
13.0,3
13.0,4
13.0,3
13.0,3
13.0,3
13.0,2
13.0,2
14.0,2
14.0,2
14.0,3
14.0,3
14.0,3
14.0,3
14.0,2
14.0,4
14.0,2
14.0,4
15.0,4
15.0,4
15.0,4
15.0,4
15.0,4
15.0,3
15.0,3
15.0,4
15.0,4
15.0,3
15.0,3
15.0,3
15.0,3
15.0,4
15.0,3
15.0,3
16.0,3
16.0,4
16.0,3
16.0,3
16.0,3
16.0,3
16.0,3
16.0,3
16.0,3
16.0,3
17.0,2
17.0,2
17.0,3
17.0,3
17.0,3
17.0,4
17.0,3
17.0,4
17.0,3
17.0,2
17.0,3
17.0,4
17.0,4
17.0,3
17.0,3
17.0,3
18.0,4
18.0,3
18.0,3
18.0,2
18.0,4
18.0,4
18.0,3
18.0,3
18.0,3
18.0,2
18.0,3
18.0,2
18.0,3
18.0,3
18.0,2
18.0,3
18.0,3
18.0,3
18.0,3
18.0,4
19.0,2
19.0,2
19.0,3
19.0,3
19.0,2
20.0,3
20.0,3
